data,preco_previsto_brent
2024-11-05,74.64
2024-11-06,74.34
2024-11-07,74.39
2024-11-08,74.55
2024-11-11,74.63
2024-11-12,74.6
2024-11-13,74.55
2024-11-14,74.57
2024-11-15,74.54
2024-11-18,74.49
2024-11-19,74.5
2024-11-20,74.51
2024-11-21,74.5
2024-11-22,74.5
2024-11-25,74.5
2024-11-26,74.5
2024-11-27,74.49
2024-11-28,74.49
2024-11-29,74.49
2024-12-02,74.49
2024-12-03,74.49
2024-12-04,74.49
2024-12-05,74.49
2024-12-06,74.48
2024-12-09,74.48
2024-12-10,74.48
2024-12-11,74.48
2024-12-12,74.48
2024-12-13,74.48
2024-12-16,74.48
